Time,tavolaRotante._axisInterface.axisActualPosition,braccioSx._axisInterface.axisActualPosition,braccioDx._axisInterface.axisActualPosition,tavolaRotante._axisInterface.axisOn,tavolaRotante._axisInterface.axisReferenced,tavolaRotante._axisInterface.axisPos1,tavolaRotante._axisInterface.axisPos2,braccioSx._axisInterface.axisOn,braccioSx._axisInterface.axisReferenced,braccioSx._axisInterface.axisPos1,braccioSx._axisInterface.axisPos2,braccioSx._instGripper._gripperInterface.gripperOpened,braccioSx._instGripper._gripperInterface.gripperClosed,braccioDx._axisInterface.axisOn,braccioDx._axisInterface.axisReferenced,braccioDx._axisInterface.axisPos1,braccioDx._axisInterface.axisPos2,braccioDx._instGripper._gripperInterface.gripperOpened,braccioDx._instGripper._gripperInterface.gripperClosed,start
2024-05-08T16:53:04.1340600Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:04.4341292Z,90,100,75.828,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:04.7340095Z,90,100,45.801,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:05.0339885Z,90,100,15.8,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:05.3339917Z,90,100,4.9510000000000005,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:05.6339989Z,90,100,4.997,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:05.9340471Z,90,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:06.2340254Z,90,100,5,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true
2024-05-08T16:53:06.5341714Z,90,100,29.171,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:06.8340080Z,90,100,59.198,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:07.1340203Z,90,100,89.199,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
2024-05-08T16:53:07.4340547Z,90,100,100.048,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:07.7340236Z,90,100,100.002,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:08.0340234Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:08.3342610Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:08.6340257Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:08.9341345Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:09.2340210Z,90,100,75.828,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true
