Time,tavolaRotante.posizioneAttuale,braccioSx.posizioneAttuale,braccioDx.posizioneAttuale,tavolaRotante.acceso,tavolaRotante.referenziato,tavolaRotante.inPos1,tavolaRotante.inPos2,braccioSx.asseAcceso,braccioSx.asseReferenziato,braccioSx.pinzaAperta,braccioSx.pinzaChiusa,braccioSx.inPosAlta,braccioSx.inPosBassa,braccioDx.asseAcceso,braccioDx.asseReferenziato,braccioDx.pinzaAperta,braccioDx.pinzaChiusa,braccioDx.inPosAlta,braccioDx.inPosBassa,start
2024-04-24T08:26:04.1610714Z,89.999,5,6.207,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,false,true
2024-04-24T08:26:05.1611048Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:26:06.1611758Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:26:07.1610658Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:26:08.1611422Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:26:09.1611664Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:26:10.1611462Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:26:11.1611311Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true
2024-04-24T08:26:12.1611503Z,89.999,5,98.792,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,false,true
2024-04-24T08:26:13.1612370Z,89.999,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
2024-04-24T08:26:14.1610818Z,89.999,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
2024-04-24T08:26:15.1611909Z,89.999,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,false,false,true,true
2024-04-24T08:26:16.1610908Z,89.999,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:26:17.1611572Z,89.999,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:26:18.1610462Z,89.999,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:26:19.1611475Z,89.999,5,6.207,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:26:20.1611701Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:21.1610843Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:22.1611004Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:23.1612384Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:24.1610712Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:25.1612850Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:26.1610720Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:27.1609551Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:28.1610457Z,89.999,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:29.1611874Z,183.699,5,5,true,true,false,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:30.1613716Z,270.087,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:31.1612588Z,269.999,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:32.1610844Z,269.999,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:33.1609556Z,269.999,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:34.1611676Z,269.999,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:35.1611053Z,269.999,98.792,5,true,true,true,false,true,true,true,false,false,false,true,true,true,false,true,false,true
2024-04-24T08:26:36.1609398Z,269.999,100,5,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:37.1611070Z,269.999,100,5,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:38.1610546Z,269.999,100,5,true,true,true,false,true,true,false,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:39.1610710Z,269.999,100,5,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:40.1611889Z,269.999,100,5,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:41.1610988Z,269.999,100,5,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:42.1612428Z,269.999,6.207,5,true,true,true,false,true,true,false,true,false,false,true,true,true,false,true,false,true
2024-04-24T08:26:43.1611007Z,269.999,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:44.1610250Z,269.999,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:45.1611809Z,269.999,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:46.1612548Z,269.999,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:47.1613073Z,269.999,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:48.1610996Z,269.999,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:49.1611456Z,269.999,5,5,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:50.1610977Z,269.999,98.792,5,true,true,true,false,true,true,false,true,false,false,true,true,true,false,true,false,true
2024-04-24T08:26:51.1610441Z,269.999,100,5,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:52.1611775Z,269.999,100,5,true,true,true,false,true,true,false,true,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:53.1611179Z,269.999,100,5,true,true,true,false,true,true,false,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:54.1611201Z,269.999,100,5,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:55.1611090Z,269.999,100,5,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:56.1610757Z,269.999,100,5,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true
2024-04-24T08:26:57.1611814Z,269.999,6.207,5,true,true,true,false,true,true,true,false,false,false,true,true,true,false,true,false,true
2024-04-24T08:26:58.1611306Z,269.999,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:26:59.1611705Z,269.999,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:00.1611051Z,269.999,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:01.1610752Z,269.999,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:02.1611248Z,269.999,5,5,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:03.1611323Z,3.6990000000000003,5,5,true,true,false,false,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:04.1613259Z,90.087,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:05.1611505Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:06.1610602Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:07.1612031Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:08.1610455Z,90,5,5,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,true
2024-04-24T08:27:09.1610395Z,90,5,98.792,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,true
2024-04-24T08:27:10.1613239Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:27:11.1610169Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true
2024-04-24T08:27:12.1612598Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,false,false,true,true
2024-04-24T08:27:13.1611670Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
2024-04-24T08:27:14.1610309Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
2024-04-24T08:27:15.1612298Z,90,5,100,true,true,false,true,true,true,true,false,true,false,true,true,false,true,false,true,true
